Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",3,56.7 Lac,N/A,1259,4500,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata",Kolkata,"New Town, Kolkata",3,1 Cr,N/A,1294,7758,Unfurnished
"2 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,41.4 Lac,N/A,921,4499,Unfurnished
"2 BHK Apartment for Sale in Look Saket Evara, Baranagar Kolkata",Kolkata,N/A,2,80.8 Lac,N/A,1036,N/A,Unfurnished
"3 BHK Apartment for Sale in Parnasree Skyway, Parnasree Palli Kolkata",Kolkata,"Parnasree, Kolkata",3,1.04 Cr,N/A,1055,9858,Unfurnished
"2 BHK Apartment for Sale in Magnolia Vishnupriya, Baruipur Kolkata",Kolkata,"Baruipur, Kolkata",2,29.6 Lac,N/A,900,3287,Unfurnished
"3 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,N/A,3,74.4 Lac,N/A,877,N/A,Unfurnished
"3 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",3,96 Lac,N/A,1106,8680,Unfurnished
"2 BHK Apartment for Sale in Team Taurus Singhaduar, Rajarhat Kolkata",Kolkata,N/A,2,66.3 Lac,N/A,1197,N/A,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.75 Cr,N/A,2017,13683,Unfurnished
"4 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",4,1.34 Cr,N/A,1863,7200,Unfurnished
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",Kolkata,"Rajpur Sonarpur, Kolkata",4,1.51 Cr,N/A,1974,7682,Unfurnished
"3 BHK Apartment for Sale in Merlin Skygaze, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,74.9 Lac,N/A,840,8920,Unfurnished
"3 BHK Apartment for Sale in Premier Joy 98, Barrackpore Trunk Road Kolkata",Kolkata,"Barrackpore Trunk Road, Kolkata",3,1.30 Cr,N/A,1350,9630,Unfurnished
"3 BHK Villa for Sale in Srijan Botanica, Sonarpur Kolkata",Kolkata,"Sonarpur, Kolkata",3,1.45 Cr,N/A,2724,5352,Unfurnished
"4 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",Kolkata,"New Alipore, Kolkata",4,3.71 Cr,N/A,2486,14935,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,3.90 Cr,N/A,4000,9750,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,3.44 Cr,N/A,2693,12774,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,3.21 Cr,N/A,2344,13695,Unfurnished
"3 BHK Apartment for Sale in Optima Phase 1, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,99.5 Lac,N/A,1500,6636,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1 Cr,N/A,1030,9710,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.48 Cr,N/A,1815,13683,Unfurnished
"4 BHK Villa for Sale in Eden Group Amantran, Joka Kolkata",Kolkata,"Joka, Kolkata",4,1.10 Cr,N/A,1597,6934,Unfurnished
"3 BHK Apartment for Sale in Orbit Dakshini, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",3,1.45 Cr,N/A,1810,8027,Unfurnished
"2 BHK Apartment for Sale in Siddha Happyville, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,54.7 Lac,N/A,715,7643,Unfurnished
"2 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",2,43.5 Lac,N/A,775,5615,Unfurnished
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",Kolkata,"New Town, Kolkata",5,4.65 Cr,N/A,2792,16655,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1.13 Cr,N/A,1159,9814,Unfurnished
"5 BHK Apartment for Sale in AKP Marinas Edge, North 24 Parganas Kolkata",Kolkata,"North 24 Parganas, Kolkata",5,6.54 Cr,N/A,2824,23159,Unfurnished
"2 BHK Apartment for Sale in Fortune Heights Barasat, Barasat Kolkata",Kolkata,"Barasat, Kolkata",2,34.9 Lac,N/A,723,4889,Unfurnished
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",3,56.7 Lac,N/A,1259,4500,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata",Kolkata,"New Town, Kolkata",3,1 Cr,N/A,1294,7758,Unfurnished
"2 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,41.4 Lac,N/A,921,4499,Unfurnished
"2 BHK Apartment for Sale in Look Saket Evara, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",2,80.8 Lac,N/A,1036,7799,Unfurnished
"3 BHK Apartment for Sale in Parnasree Skyway, Parnasree Palli Kolkata",Kolkata,"Parnasree, Kolkata",3,1.04 Cr,N/A,1055,9858,Unfurnished
"2 BHK Apartment for Sale in Magnolia Vishnupriya, Baruipur Kolkata",Kolkata,"Baruipur, Kolkata",2,29.6 Lac,N/A,900,3287,Unfurnished
"3 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",3,74.4 Lac,N/A,877,8485,Unfurnished
"3 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,N/A,3,96 Lac,N/A,1106,N/A,Unfurnished
"2 BHK Apartment for Sale in Team Taurus Singhaduar, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,66.3 Lac,N/A,1197,5541,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,N/A,3,2.75 Cr,N/A,2017,N/A,Unfurnished
"4 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",4,1.34 Cr,N/A,1863,7200,Unfurnished
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",Kolkata,"Rajpur Sonarpur, Kolkata",4,1.51 Cr,N/A,1974,7682,Unfurnished
"3 BHK Apartment for Sale in Merlin Skygaze, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,74.9 Lac,N/A,840,8920,Unfurnished
"3 BHK Apartment for Sale in Premier Joy 98, Barrackpore Trunk Road Kolkata",Kolkata,"Barrackpore Trunk Road, Kolkata",3,1.30 Cr,N/A,1350,9630,Unfurnished
"3 BHK Villa for Sale in Srijan Botanica, Sonarpur Kolkata",Kolkata,"Sonarpur, Kolkata",3,1.45 Cr,N/A,2724,5352,Unfurnished
"4 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",Kolkata,"New Alipore, Kolkata",4,3.71 Cr,N/A,2486,14935,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,3.90 Cr,N/A,4000,9750,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,3.44 Cr,N/A,2693,12774,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,3.21 Cr,N/A,2344,13695,Unfurnished
"3 BHK Apartment for Sale in Optima Phase 1, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,99.5 Lac,N/A,1500,6636,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1 Cr,N/A,1030,9710,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.48 Cr,N/A,1815,13683,Unfurnished
"4 BHK Villa for Sale in Eden Group Amantran, Joka Kolkata",Kolkata,"Joka, Kolkata",4,1.10 Cr,N/A,1597,6934,Unfurnished
"3 BHK Apartment for Sale in Orbit Dakshini, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",3,1.45 Cr,N/A,1810,8027,Unfurnished
"2 BHK Apartment for Sale in Siddha Happyville, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,54.7 Lac,N/A,715,7643,Unfurnished
"2 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",2,43.5 Lac,N/A,775,5615,Unfurnished
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",Kolkata,"New Town, Kolkata",5,4.65 Cr,N/A,2792,16655,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1.13 Cr,N/A,1159,9814,Unfurnished
"5 BHK Apartment for Sale in AKP Marinas Edge, North 24 Parganas Kolkata",Kolkata,"North 24 Parganas, Kolkata",5,6.54 Cr,N/A,2824,23159,Unfurnished
"2 BHK Apartment for Sale in Fortune Heights Barasat, Barasat Kolkata",Kolkata,"Barasat, Kolkata",2,34.9 Lac,N/A,723,4889,Unfurnished
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",3,56.7 Lac,N/A,1259,4500,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata",Kolkata,"New Town, Kolkata",3,1 Cr,N/A,1294,7758,Unfurnished
"2 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,41.4 Lac,N/A,921,4499,Unfurnished
"2 BHK Apartment for Sale in Look Saket Evara, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",2,80.8 Lac,N/A,1036,7799,Unfurnished
"3 BHK Apartment for Sale in Parnasree Skyway, Parnasree Palli Kolkata",Kolkata,"Parnasree, Kolkata",3,1.04 Cr,N/A,1055,9858,Unfurnished
"2 BHK Apartment for Sale in Magnolia Vishnupriya, Baruipur Kolkata",Kolkata,"Baruipur, Kolkata",2,29.6 Lac,N/A,900,3287,Unfurnished
"3 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",3,74.4 Lac,N/A,877,8485,Unfurnished
"3 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",3,96 Lac,N/A,1106,8680,Unfurnished
"2 BHK Apartment for Sale in Team Taurus Singhaduar, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,66.3 Lac,N/A,1197,5541,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.75 Cr,N/A,2017,13683,Unfurnished
"4 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",4,1.34 Cr,N/A,1863,7200,Unfurnished
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",Kolkata,"Rajpur Sonarpur, Kolkata",4,1.51 Cr,N/A,1974,7682,Unfurnished
"3 BHK Apartment for Sale in Merlin Skygaze, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,74.9 Lac,N/A,840,8920,Unfurnished
"3 BHK Apartment for Sale in Premier Joy 98, Barrackpore Trunk Road Kolkata",Kolkata,"Barrackpore Trunk Road, Kolkata",3,1.30 Cr,N/A,1350,9630,Unfurnished
"3 BHK Villa for Sale in Srijan Botanica, Sonarpur Kolkata",Kolkata,"Sonarpur, Kolkata",3,1.45 Cr,N/A,2724,5352,Unfurnished
"4 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",Kolkata,"New Alipore, Kolkata",4,3.71 Cr,N/A,2486,14935,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,3.90 Cr,N/A,4000,9750,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,3.44 Cr,N/A,2693,12774,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,3.21 Cr,N/A,2344,13695,Unfurnished
"3 BHK Apartment for Sale in Optima Phase 1, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,99.5 Lac,N/A,1500,6636,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1 Cr,N/A,1030,9710,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.48 Cr,N/A,1815,13683,Unfurnished
"4 BHK Villa for Sale in Eden Group Amantran, Joka Kolkata",Kolkata,"Joka, Kolkata",4,1.10 Cr,N/A,1597,6934,Unfurnished
"3 BHK Apartment for Sale in Orbit Dakshini, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",3,1.45 Cr,N/A,1810,8027,Unfurnished
"2 BHK Apartment for Sale in Siddha Happyville, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,54.7 Lac,N/A,715,7643,Unfurnished
"2 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",2,43.5 Lac,N/A,775,5615,Unfurnished
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",Kolkata,N/A,5,4.65 Cr,N/A,2792,N/A,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1.13 Cr,N/A,1159,9814,Unfurnished
"5 BHK Apartment for Sale in AKP Marinas Edge, North 24 Parganas Kolkata",Kolkata,"North 24 Parganas, Kolkata",5,6.54 Cr,N/A,2824,23159,Unfurnished
"2 BHK Apartment for Sale in Fortune Heights Barasat, Barasat Kolkata",Kolkata,"Barasat, Kolkata",2,34.9 Lac,N/A,723,4889,Unfurnished
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",3,56.7 Lac,N/A,1259,4500,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata",Kolkata,"New Town, Kolkata",3,1 Cr,N/A,1294,7758,Unfurnished
"2 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,41.4 Lac,N/A,921,4499,Unfurnished
"2 BHK Apartment for Sale in Look Saket Evara, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",2,80.8 Lac,N/A,1036,7799,Unfurnished
"3 BHK Apartment for Sale in Parnasree Skyway, Parnasree Palli Kolkata",Kolkata,"Parnasree, Kolkata",3,1.04 Cr,N/A,1055,9858,Unfurnished
"2 BHK Apartment for Sale in Magnolia Vishnupriya, Baruipur Kolkata",Kolkata,"Baruipur, Kolkata",2,29.6 Lac,N/A,900,3287,Unfurnished
"3 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",3,74.4 Lac,N/A,877,8485,Unfurnished
"3 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",3,96 Lac,N/A,1106,8680,Unfurnished
"2 BHK Apartment for Sale in Team Taurus Singhaduar, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,66.3 Lac,N/A,1197,5541,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.75 Cr,N/A,2017,13683,Unfurnished
"4 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,N/A,4,1.34 Cr,N/A,1863,N/A,Unfurnished
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",Kolkata,"Rajpur Sonarpur, Kolkata",4,1.51 Cr,N/A,1974,7682,Unfurnished
"3 BHK Apartment for Sale in Merlin Skygaze, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,74.9 Lac,N/A,840,8920,Unfurnished
"3 BHK Apartment for Sale in Premier Joy 98, Barrackpore Trunk Road Kolkata",Kolkata,"Barrackpore Trunk Road, Kolkata",3,1.30 Cr,N/A,1350,9630,Unfurnished
"3 BHK Villa for Sale in Srijan Botanica, Sonarpur Kolkata",Kolkata,"Sonarpur, Kolkata",3,1.45 Cr,N/A,2724,5352,Unfurnished
"4 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",Kolkata,"New Alipore, Kolkata",4,3.71 Cr,N/A,2486,14935,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,N/A,4,3.90 Cr,N/A,4000,N/A,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,N/A,4,3.44 Cr,N/A,2693,N/A,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,3.21 Cr,N/A,2344,13695,Unfurnished
"3 BHK Apartment for Sale in Optima Phase 1, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,99.5 Lac,N/A,1500,6636,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1 Cr,N/A,1030,9710,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.48 Cr,N/A,1815,13683,Unfurnished
"4 BHK Villa for Sale in Eden Group Amantran, Joka Kolkata",Kolkata,"Joka, Kolkata",4,1.10 Cr,N/A,1597,6934,Unfurnished
"3 BHK Apartment for Sale in Orbit Dakshini, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",3,1.45 Cr,N/A,1810,8027,Unfurnished
"2 BHK Apartment for Sale in Siddha Happyville, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,54.7 Lac,N/A,715,7643,Unfurnished
"2 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",2,43.5 Lac,N/A,775,5615,Unfurnished
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",Kolkata,"New Town, Kolkata",5,4.65 Cr,N/A,2792,16655,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1.13 Cr,N/A,1159,9814,Unfurnished
"5 BHK Apartment for Sale in AKP Marinas Edge, North 24 Parganas Kolkata",Kolkata,"North 24 Parganas, Kolkata",5,6.54 Cr,N/A,2824,23159,Unfurnished
"2 BHK Apartment for Sale in Fortune Heights Barasat, Barasat Kolkata",Kolkata,"Barasat, Kolkata",2,34.9 Lac,N/A,723,4889,Unfurnished
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",3,56.7 Lac,N/A,1259,4500,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata",Kolkata,"New Town, Kolkata",3,1 Cr,N/A,1294,7758,Unfurnished
"2 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,N/A,2,41.4 Lac,N/A,921,N/A,Unfurnished
"2 BHK Apartment for Sale in Look Saket Evara, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",2,80.8 Lac,N/A,1036,7799,Unfurnished
"3 BHK Apartment for Sale in Parnasree Skyway, Parnasree Palli Kolkata",Kolkata,"Parnasree, Kolkata",3,1.04 Cr,N/A,1055,9858,Unfurnished
"2 BHK Apartment for Sale in Magnolia Vishnupriya, Baruipur Kolkata",Kolkata,"Baruipur, Kolkata",2,29.6 Lac,N/A,900,3287,Unfurnished
"3 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",3,74.4 Lac,N/A,877,8485,Unfurnished
"3 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",3,96 Lac,N/A,1106,8680,Unfurnished
"2 BHK Apartment for Sale in Team Taurus Singhaduar, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,66.3 Lac,N/A,1197,5541,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.75 Cr,N/A,2017,13683,Unfurnished
"4 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",4,1.34 Cr,N/A,1863,7200,Unfurnished
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",Kolkata,"Rajpur Sonarpur, Kolkata",4,1.51 Cr,N/A,1974,7682,Unfurnished
"3 BHK Apartment for Sale in Merlin Skygaze, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,74.9 Lac,N/A,840,8920,Unfurnished
"3 BHK Apartment for Sale in Premier Joy 98, Barrackpore Trunk Road Kolkata",Kolkata,"Barrackpore Trunk Road, Kolkata",3,1.30 Cr,N/A,1350,9630,Unfurnished
"3 BHK Villa for Sale in Srijan Botanica, Sonarpur Kolkata",Kolkata,"Sonarpur, Kolkata",3,1.45 Cr,N/A,2724,5352,Unfurnished
"4 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",Kolkata,"New Alipore, Kolkata",4,3.71 Cr,N/A,2486,14935,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,3.90 Cr,N/A,4000,9750,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,3.44 Cr,N/A,2693,12774,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,3.21 Cr,N/A,2344,13695,Unfurnished
"3 BHK Apartment for Sale in Optima Phase 1, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,99.5 Lac,N/A,1500,6636,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1 Cr,N/A,1030,9710,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,N/A,3,2.48 Cr,N/A,1815,N/A,Unfurnished
"4 BHK Villa for Sale in Eden Group Amantran, Joka Kolkata",Kolkata,"Joka, Kolkata",4,1.10 Cr,N/A,1597,6934,Unfurnished
"3 BHK Apartment for Sale in Orbit Dakshini, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",3,1.45 Cr,N/A,1810,8027,Unfurnished
"2 BHK Apartment for Sale in Siddha Happyville, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,54.7 Lac,N/A,715,7643,Unfurnished
"2 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",2,43.5 Lac,N/A,775,5615,Unfurnished
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",Kolkata,"New Town, Kolkata",5,4.65 Cr,N/A,2792,16655,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1.13 Cr,N/A,1159,9814,Unfurnished
"5 BHK Apartment for Sale in AKP Marinas Edge, North 24 Parganas Kolkata",Kolkata,"North 24 Parganas, Kolkata",5,6.54 Cr,N/A,2824,23159,Unfurnished
"2 BHK Apartment for Sale in Fortune Heights Barasat, Barasat Kolkata",Kolkata,"Barasat, Kolkata",2,34.9 Lac,N/A,723,4889,Unfurnished
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",3,56.7 Lac,N/A,1259,4500,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata",Kolkata,"New Town, Kolkata",3,1 Cr,N/A,1294,7758,Unfurnished
"2 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,41.4 Lac,N/A,921,4499,Unfurnished
"2 BHK Apartment for Sale in Look Saket Evara, Baranagar Kolkata",Kolkata,"Baranagar, Kolkata",2,80.8 Lac,N/A,1036,7799,Unfurnished
"3 BHK Apartment for Sale in Parnasree Skyway, Parnasree Palli Kolkata",Kolkata,"Parnasree, Kolkata",3,1.04 Cr,N/A,1055,9858,Unfurnished
"2 BHK Apartment for Sale in Magnolia Vishnupriya, Baruipur Kolkata",Kolkata,"Baruipur, Kolkata",2,29.6 Lac,N/A,900,3287,Unfurnished
"3 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",Kolkata,"Sonarpur Station Road, Kolkata",3,74.4 Lac,N/A,877,8485,Unfurnished
"3 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",3,96 Lac,N/A,1106,8680,Unfurnished
"2 BHK Apartment for Sale in Team Taurus Singhaduar, Rajarhat Kolkata",Kolkata,N/A,2,66.3 Lac,N/A,1197,N/A,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.75 Cr,N/A,2017,13683,Unfurnished
"4 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",Kolkata,"New Town, Kolkata",4,1.34 Cr,N/A,1863,7200,Unfurnished
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",Kolkata,"Rajpur Sonarpur, Kolkata",4,1.51 Cr,N/A,1974,7682,Unfurnished
"3 BHK Apartment for Sale in Merlin Skygaze, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,74.9 Lac,N/A,840,8920,Unfurnished
"3 BHK Apartment for Sale in Premier Joy 98, Barrackpore Trunk Road Kolkata",Kolkata,"Barrackpore Trunk Road, Kolkata",3,1.30 Cr,N/A,1350,9630,Unfurnished
"3 BHK Villa for Sale in Srijan Botanica, Sonarpur Kolkata",Kolkata,"Sonarpur, Kolkata",3,1.45 Cr,N/A,2724,5352,Unfurnished
"4 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",Kolkata,"New Alipore, Kolkata",4,3.71 Cr,N/A,2486,14935,Unfurnished
